headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,example_ru,synonyms,antonyms,word_family,common_mistake
a pit stop,idiom,B1,"safardagi qisqa to'xtash, dam olish","короткая остановка в пути, отдых","Used when referring to a short stop during a longer journey to eat, refuel, or rest.",,20467,idioms,We decided to make a pit stop in a small town to grab some lunch.,Tushlik olish uchun kichik shaharchada qisqa to'xtashga qaror qildik.,,stopover | rest break,non-stop journey,make a quick pit stop | a necessary pit stop | a short pit stop,a pit station
a flying visit,idiom,C1,juda qisqa muddatli tashrif,очень короткий визит,"Used to describe a very short trip to a place, often when you have very little time.",,20469,idioms,It was just a flying visit; I was only in London for six hours.,Bu juda qisqa tashrif edi; Londonda atigi olti soat bo'ldim.,,whistle-stop tour | brief visit | quick trip,extended stay | long-term vacation,pay a flying visit | make a flying visit | short flying visit,a fast visit (flying visit is the idiomatic phrase)
to be spoilt for choice,idiom,B2,tanlash imkoniyati juda ko'p bo'lmoq,иметь большой выбор,Used when there are so many good options that it becomes difficult to choose.,,20471,idioms,"When it comes to restaurants in London, you are truly spoilt for choice.","Londondagi restoranlar haqida gap ketganda, tanlash imkoniyati juda ko'p.",,have a wide selection | have plenty of options,have no choice | limited options,completely spoilt for choice | truly spoilt for choice | spoilt for choice with,spoil for choice
a hidden gem,idiom,B2,kam odam biladigan go'zal joy,"красивое место, о котором мало кто знает",Used to describe a place that is wonderful but not widely known or visited.,,20473,idioms,This small beach is a real hidden gem; you won't find it in most guidebooks.,Bu kichik plyaj haqiqiy yashirin gavhar; uni ko'p sayyohlik qo'llanmalarida topolmaysiz.,,undiscovered | precious find,tourist trap,true hidden gem | absolute hidden gem | discover a hidden gem,a secret gem
it's a must-see,idiom,A2,albatta ko'rish kerak bo'lgan joy,"место, которое обязательно нужно увидеть",Used when recommending a major landmark or attraction to someone.,,20475,idioms,"If you visit Paris, the Louvre is an absolute must-see.","Parijga borsangiz, Luvrni albatta ko'rishingiz kerak.",,essential attraction | highlight | unmissable,tourist trap | skippable,an absolute must-see | a major must-see | considered a must-see,it is a must to see (awkward)
to broaden one's horizons,idiom,C1,dunyoqarashni kengaytirish,расширить свой кругозор,Often used in IELTS Speaking Part 3 or Writing Task 2 to explain the educational benefits of travel.,,20477,idioms,Studying abroad is an excellent way to broaden your horizons.,Chet elda o'qish dunyoqarashingizni kengaytirishning ajoyib yo'lidir.,,expand one's perspective | gain insight,have a narrow mind | be narrow-minded,help to broaden horizons | effectively broaden horizons,to open my horizons
to see the sights,idiom,B1,diqqatga sazovor joylarni tomosha qilmoq,осмотр достопримечательностей,Standard phrase for sightseeing when visiting a new city or country.,,20479,idioms,We spent our first two days just seeing the sights in central London.,Dastlabki ikki kunimizni markaziy Londondagi diqqatga sazovor joylarni tomosha qilish bilan o'tkazdik.,,sightsee | tour,,ready to see the sights | time to see the sights | tour to see the sights,see the sights of
the hustle and bustle,idiom,B2,"shovqin-suron, gavjumlik","шум, толпа","Used to describe the busy, noisy atmosphere of a city or a popular market.",,20481,idioms,"I love the hustle and bustle of Marrakech, especially the night market.","Men Marrakeshning shovqin-suroni, ayniqsa tungi bozorini juda yaxshi ko'raman.",,commotion | frenzy | busyness,peace and quiet | tranquillity,escape the hustle and bustle | enjoy the hustle and bustle,hustle and the bustle
to meet a deadline,idiom,B1,belgilangan muddatda bajarib topshirish,завершить в течение указанного времени,"Used when discussing project management, timelines, or workplace pressure.",,20483,idioms,We are working overtime to meet the deadline for this project.,Bu loyiha muddatiga yetish uchun qo'shimcha soatlarda ishlayapmiz.,,finish on schedule | complete by the due date,miss a deadline,tight deadline | miss a deadline | beat a deadline | extended deadline,to reach a deadline
to be snowed under,idiom,B2,"ishga ko'milib qolish, juda band bo'lish","быть погруженным в работу, быть очень занятым",Used to describe having an overwhelming amount of work to do.,,20485,idioms,I'm sorry I can't help you with that report; I'm completely snowed under at the moment.,"Kechirasiz, hozir shu qadar ishga ko'milib ketganki, sizga hisobotda yordam bera olmayman.",,swamped | overwhelmed | inundated,to have nothing on | to be free,snowed under with work | snowed under with emails | completely snowed under,I am snowed in my work
a nine-to-five job,idiom,B1,doimiy ish vaqti bor ish,постоянная работа,Describes standard office hours or the traditional corporate work lifestyle.,,20487,idioms,I've always wanted a creative career rather than just a boring nine-to-five job.,Men doim oddiy to'qqizdan beshgacha bo'lgan zerikarli ishdan ko'ra ijodiy kasbni xohlaganman.,,full-time work | regular hours,freelancing | shift work,standard nine-to-five | dull nine-to-five | tired of the nine-to-five,a nine-to-five work
to pull one's weight,idiom,C1,o'z vazifasini to'liq bajarish (jamoa ichida),делать свою работу (в команде),Used in team settings to talk about whether someone is doing their fair share of work.,,20489,idioms,"If everyone pulls their weight, we can finish this project by tomorrow.","Agar hamma o'z vazifasini bajarsa, bu loyihani ertaga tugata olamiz.",,contribute | participate fully,to slack off | to be a free rider,not pulling one's weight | everyone pulls their weight,to carry one's weight
to be tied up,idiom,B1,band bo'lmoq (ish bilan),быть занятым (работой),Used when you are too busy with work or tasks to do anything else at the moment.,,20491,idioms,I'm afraid I'm a bit tied up with a client meeting until five o'clock.,Soat beshgacha mijoz bilan uchrashuvda band bo'laman.,,busy | occupied | engaged,free | available | at a loose end,completely tied up | a bit tied up | tied up with work | tied up in meetings,Saying 'I am tied'
to keep on top of things,idiom,B2,hamma narsani nazoratda ushlab turmoq,держать все под контролем,Used to describe staying organized and managing your workload effectively before it becomes overwhelming.,,20493,idioms,"To keep on top of my emails, I check my inbox twice a day.",Elektron xatlarimni nazoratda ushlab turish uchun pochta qutimni kuniga ikki marta tekshiraman.,,control | manage | organize,fall behind | lose control,struggle to keep on top of | manage to keep on top of,Saying 'keep the top of'
get off the ground,idiom,B2,ishga tushirmoq (yangi loyihani),начать (новый проект),"Used when starting a new project, business, or venture that requires initial effort and momentum.",,20495,idioms,We need more funding if we want to get this start-up off the ground.,"Bu startapni ishga tushirishni istasak, bizga ko'proq mablag' kerak.",,launch | commence | start | establish,fail | collapse | stall,help get off the ground | struggle to get off the ground,Saying 'get off the earth'
to be under a lot of pressure,idiom,B1,katta bosim ostida bo'lmoq,находиться под большим давлением,Used to describe a situation where someone has too much work or high expectations.,,20497,idioms,She is under a lot of pressure to finish the report by Friday.,U hisobotni juma kunigacha tugatish uchun katta bosim ostida.,,be stressed | be overwhelmed,be relaxed | be laid-back,immense pressure | under pressure to perform | cope with pressure,to be in a lot of pressure
to be hooked on,idiom,B1,"biror narsaga qattiq berilib qolmoq, bog'lanib qolmoq",привязываться к чему-либо,"Used to describe an intense interest or addiction to a game, app, or social media platform.",,20499,idioms,I'm totally hooked on this new puzzle app.,Men bu yangi boshqotirma ilovasiga juda qattiq berilib qoldim.,,addicted to | obsessed with,bored by | disinterested in,get hooked on | completely hooked on | stay hooked on,'I am hooked to this game'
the digital divide,idiom,C1,raqamli tengsizlik (texnologiyalardan foydalanish imkoniyatidagi farq),цифровое неравенство (разница в доступе к технологиям),Used in academic or social commentary to describe the gap between those who have access to technology and those who do not.,,20501,idioms,The government is trying to bridge the digital divide in rural areas.,Hukumat qishloq hududlarida raqamli tengsizlikni kamaytirishga harakat qilmoqda.,,technological gap | digital inequality,,bridge the digital divide | narrow the digital divide,'the digital gap'
digital footprint,idiom,B2,raqamli iz,цифровой след,Refers to the information about a person that exists online as a result of their online activity.,,20503,idioms,Everything you post contributes to your digital footprint.,Siz joylagan har bir narsa raqamli izingizga hissa qo'shadi.,,digital trail | online presence,,leave a digital footprint | manage your digital footprint,digital track (incorrect term)
glued to the screen,idiom,B2,"ko'zi ekranga qadalib qolmoq, ekran oldidan ketolmay qolmoq",смотрю в экран и не могу оторваться от экрана,"A vivid idiomatic expression describing someone staring intensely at a computer, phone, or TV for a long time.",,20505,idioms,I spent the whole night glued to the screen watching the election results.,"Saylov natijalarini tomosha qilib, butun kecha ekranga qadalib qoldim.",,fixated | transfixed,unplugged | disconnected,constantly glued to the screen | be glued to the screen for hours,'I am gluing to my screen'
